"tract","Name","Household_Income_rB_gP_pall"
24027601104,"Ellicott City, MD",83928
24510120202,"Baltimore, MD",55448
24005400400,"Catonsville, MD",51464
24027601103,"West Elkridge, Elkridge, MD",49540
24005452400,"Dundalk, MD",45278
24510271501,"Mount Washington, Baltimore, MD",45226
24005451200,"Middle River, MD",41187
24005440800,"Rosedale, MD",40773
24027601201,"Elkridge, MD",39948
24510130806,"Woodberry, Baltimore, MD",38429
24510120100,"Tuscany - Canterbury, Baltimore, MD",37773
24005403100,"Gwynn Oak, Pikesville, MD",37131
24510270703,"North Harford Road, Baltimore, MD",36148
24005451300,"Middle River, MD",35709
24027601204,"Elkridge, MD",35281
24510250103,"Violetville, Baltimore, MD",34888
24510271101,"Radnor - Winston, Baltimore, MD",34801
24003750400,"Linthicum Heights, MD",34634
24005403300,"Lochearn, Pikesville, MD",34566
24005402403,"Gwynn Oak, Baltimore, MD",34158
24005430700,"Halethorpe, MD",34122
24005403201,"Gwynn Oak, Lochearn, MD",34122
24510271102,"Mid-Charles, Baltimore, MD",33862
24510272006,"Glen, Baltimore, MD",33732
24510270804,"Lake Walker, Baltimore, MD",33327
24005441102,"Rosedale, MD",33285
24510130805,"Cold Springs, Baltimore, MD",33180
24005441101,"Rosedale, MD",33135
24510272007,"Fallstaff, Baltimore, MD",32422
24510270301,"Lauraville, Baltimore, MD",32344
24005401102,"Gwynn Oak, Woodlawn, MD",32341
24005450100,"Rosedale, MD",32225
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",32202
24005440900,"Rosedale, MD",32178
24005402304,"Gwynn Oak, Baltimore, MD",32154
24005403202,"Gwynn Oak, Baltimore, MD",31993
24005401301,"Woodlawn, MD",31934
24005450900,"Essex, MD",31925
24005400702,"Baltimore, MD",31903
24510010500,"Upper Fells Point, Baltimore, MD",31819
24005421102,"Dundalk, MD",31764
24005400701,"Catonsville, MD",31599
24005430400,"Halethorpe, MD",31470
24005440702,"Rosedale, MD",31461
24005440400,"Baltimore, MD",31414
24005420301,"Dundalk, MD",31317
24005492300,"Essex, MD",31209
24005402303,"Windsor Mill, Baltimore, MD",31031
24510270903,"Hillen, Baltimore, MD",30958
24510270803,"Loch Raven, Baltimore, MD",30921
24005402404,"Gwynn Oak, Lochearn, MD",30886
24510270902,"Perring Loch, Baltimore, MD",30798
24003750201,"Brooklyn, Baltimore, MD",30749
24510270802,"Ramblewood, Baltimore, MD",30672
24005451701,"Middle River, MD",30587
24510280403,"Westgate, Baltimore, MD",30401
24005400100,"Catonsville, MD",30264
24510270302,"Waltherson, Baltimore, MD",30201
24003751200,"Linthicum Heights, MD",30145
24005430900,"Baltimore, MD",30132
24510272003,"Baltimore, MD",30106
24005401101,"Woodlawn, MD",30085
24510130700,"Hampden, Baltimore, MD",30074
24005402307,"Pikesville, MD",30052
24005400900,"Catonsville, MD",29990
24005402405,"Gwynn Oak, Baltimore, MD",29869
24005401505,"Catonsville, MD",29727
24510151100,"East Arlington, Baltimore, MD",29669
24510270200,"Lauraville, Baltimore, MD",29648
24510270501,"Woodring, Baltimore, MD",29545
24510280401,"Baltimore, MD",29514
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",29476
24005401507,"Windsor Mill, Baltimore, MD",29469
24510271200,"Homeland, Baltimore, MD",29400
24510271900,"Glen, Baltimore, MD",29389
24510270502,"North Harford Road, Baltimore, MD",29313
24510270901,"New Northwood, Baltimore, MD",29297
24510260102,"Frankford, Baltimore, MD",28869
24005402407,"Windsor Mill, Milford Mill, MD",28689
24005401200,"Woodlawn, MD",28637
24510280402,"Rognel Heights, Baltimore, MD",28556
24510250206,"Morrell Park, Baltimore, MD",28400
24005400800,"Catonsville, MD",28381
24510260302,"Belair - Edison, Baltimore, MD",28209
24510270801,"Idlewood, Baltimore, MD",28180
24005420401,"Dundalk, MD",28171
24005451401,"Middle River, MD",28140
24510150702,"Walbrook, Baltimore, MD",28138
24005440200,"Nottingham, MD",28114
24510260501,"Joseph Lee, Baltimore, MD",28040
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",28003
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",27985
24005402305,"Lochearn, Pikesville, MD",27958
24005451402,"Middle River, MD",27954
24510280200,"Gwynn Oak, Baltimore, MD",27863
24510270402,"Glenham-Belford, Baltimore, MD",27778
24510250101,"Beechfield, Baltimore, MD",27764
24510272004,"Cheswolde, Baltimore, MD",27733
24510270805,"Mid-Govans, Baltimore, MD",27715
24510260101,"Cedmont, Baltimore, MD",27660
24005451100,"Essex, MD",27602
24510270102,"Waltherson, Baltimore, MD",27453
24005440701,"Rosedale, MD",27302
24005421101,"Baltimore, MD",27240
24510270101,"Arcadia, Baltimore, MD",27063
24003750101,"Brooklyn Park, MD",27048
24005441000,"Baltimore, MD",26996
24005401302,"Gwynn Oak, Baltimore, MD",26725
24510150701,"Hanlon Longwood, Baltimore, MD",26696
24510140100,"Bolton Hill, Baltimore, MD",26637
24005450504,"Essex, MD",26602
24005450501,"Essex, MD",26507
24510130803,"Medfield, Baltimore, MD",26424
24510280302,"West Forest Park, Baltimore, MD",26375
24510150500,"Burleith-Leighton, Baltimore, MD",26338
24510270401,"Glenham-Belford, Baltimore, MD",26329
24510280102,"Gwynn Oak, Baltimore, MD",26308
24005452000,"Sparrows Point, MD",26261
24510150800,"Garwyn Oaks, Baltimore, MD",25893
24005451500,"Middle River, MD",25778
24005403402,"Pikesville, MD",25749
24510280404,"Irvington, Baltimore, MD",25745
24510200800,"Irvington, Baltimore, MD",25712
24510150900,"Windsor Hills, Baltimore, MD",25709
24510200701,"Allendale, Baltimore, MD",25682
24510120201,"Baltimore, MD",25661
24510280301,"Gwynn Oak, Baltimore, MD",25644
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",25638
24003750202,"Brooklyn Park, MD",25476
24005420900,"Dundalk, MD",25318
24510260202,"Parkside, Baltimore, MD",25227
24510260201,"Frankford, Baltimore, MD",25070
24510271002,"Winston - Govans, Baltimore, MD",24883
24510151000,"Dorchester, Baltimore, MD",24818
24510280101,"Reisterstown Station, Baltimore, MD",24808
24510271700,"Central Park Heights, Baltimore, MD",24784
24510260203,"Frankford, Baltimore, MD",24499
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",24465
24510080101,"Belair - Edison, Baltimore, MD",24459
24510160801,"Edmondson, Baltimore, MD",24388
24510200702,"Saint Joseph's, Baltimore, MD",24330
24510090500,"Better Waverly, Baltimore, MD",24313
24510260402,"Frankford, Baltimore, MD",24300
24510130400,"Woodbrook, Baltimore, MD",24117
24510250102,"Yale Heights, Baltimore, MD",24095
24510020100,"Upper Fells Point, Baltimore, MD",24060
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",24050
24510170100,"Downtown, Baltimore, MD",24046
24510180200,"Poppleton, Baltimore, MD",23989
24005421300,"Dundalk, MD",23962
24510160802,"Edmondson, Baltimore, MD",23890
24510080500,"Darley Park, Baltimore, MD",23874
24510250205,"Lakeland, Baltimore, MD",23872
24510260403,"Cedonia, Baltimore, MD",23839
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",23830
24510150300,"Coppin Heights, Baltimore, MD",23817
24510160600,"Mosher, Baltimore, MD",23789
24005450503,"Essex, MD",23785
24510250207,"Cherry Hill, Baltimore, MD",23725
24005401000,"Catonsville, MD",23632
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",23626
24510260700,"Fifteenth Street, Baltimore, MD",23420
24005400600,"Catonsville, MD",23173
24510180300,"Hollins Market, Baltimore, MD",23135
24510271801,"Arlington, Baltimore, MD",22971
24005450800,"Essex, MD",22928
24510090400,"Better Waverly, Baltimore, MD",22887
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",22867
24510080302,"Berea, Baltimore, MD",22795
24510250500,"Curtis Bay, Baltimore, MD",22743
24510151200,"Park Circle, Baltimore, MD",22734
24510250203,"Cherry Hill, Baltimore, MD",22655
24005400200,"Catonsville, MD",22612
24510160700,"Rosemont, Baltimore, MD",22514
24510080102,"Belair - Edison, Baltimore, MD",22508
24510271600,"Edgecomb, Baltimore, MD",22506
24510200100,"Lexington, Baltimore, MD",22341
24510151300,"Central Park Heights, Baltimore, MD",22287
24510070100,"Baltimore, MD",22147
24510271802,"Langston Hughes, Baltimore, MD",22098
24510120400,"Barclay, Baltimore, MD",22085
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",21952
24510060400,"Baltimore, MD",21858
24510220100,"Baltimore, MD",21790
24510120700,"Remington, Baltimore, MD",21788
24510260301,"Belair - Edison, Baltimore, MD",21723
24510250303,"Morrell Park, Baltimore, MD",21674
24510150600,"NW Community Action, Baltimore, MD",21577
24510190200,"Pratt Monroe, Baltimore, MD",21552
24510130200,"Reservoir Hill, Baltimore, MD",21515
24510040100,"Downtown, Baltimore, MD",21408
24510120300,"Harwood, Baltimore, MD",21399
24510271001,"Baltimore, MD",21386
24510080600,"Broadway East, Baltimore, MD",21291
24510150400,"Mondawmin, Baltimore, MD",21253
24510210100,"Pigtown, Baltimore, MD",21230
24510160300,"Sandtown-Winchester, Baltimore, MD",21152
24510070200,"Madison - Eastend, Baltimore, MD",21123
24510070400,"Gay Street, Baltimore, MD",21065
24510250401,"Brooklyn, Baltimore, MD",21037
24510130300,"Penn North, Baltimore, MD",20969
24510210200,"Pigtown, Baltimore, MD",20951
24510230100,"Baltimore, MD",20933
24510010200,"Patterson Park, Baltimore, MD",20926
24510060200,"Baltimore, MD",20868
24510080400,"Broadway East, Baltimore, MD",20862
24510160400,"Midtown Edmondson, Baltimore, MD",20688
24510150200,"Sandtown-Winchester, Baltimore, MD",20665
24510080200,"Broadway East, Baltimore, MD",20652
24510200600,"Baltimore, MD",20651
24510120600,"Old Goucher, Baltimore, MD",20612
24510090900,"Oliver, Baltimore, MD",20523
24510160100,"Harlem Park, Baltimore, MD",20459
24510080301,"Berea, Baltimore, MD",20431
24510080700,"Broadway East, Baltimore, MD",20392
24510200400,"Shipley Hill, Baltimore, MD",20331
24510170200,"McCulloh Homes, Baltimore, MD",20164
24510090800,"East Baltimore Midway, Baltimore, MD",20108
24510140200,"Upton, Baltimore, MD",20054
24510170300,"Upton, Baltimore, MD",20024
24510272005,"Cross Country, Baltimore, MD",20017
24510200200,"Lexington, Baltimore, MD",19989
24510160200,"Sandtown-Winchester, Baltimore, MD",19841
24510100200,"Baltimore, MD",19778
24510120500,"Greenmount West, Baltimore, MD",19567
24510140300,"Druid Heights, Baltimore, MD",19383
24510060300,"Butchers Hill, Baltimore, MD",19328
24510250301,"Westport, Baltimore, MD",19284
24510260605,"Medford - Broening, Baltimore, MD",19045
24510130100,"Reservoir Hill, Baltimore, MD",18991
24510110100,"Downtown, Baltimore, MD",18888
24510280500,"Pleasant View Gardens, Baltimore, MD",18860
24510190100,"Franklin Square, Baltimore, MD",18666
24510250402,"Brooklyn, Baltimore, MD",18598
24510040200,"Downtown, Baltimore, MD",18559
24510100100,"Johnson Square, Baltimore, MD",18469
24510250204,"Cherry Hill, Baltimore, MD",18463
24510020200,"Upper Fells Point, Baltimore, MD",18436
24510030100,"Perkins Homes, Baltimore, MD",18335
24510150100,"Sandtown-Winchester, Baltimore, MD",18068
24510070300,"Milton - Montford, Baltimore, MD",17926
24510080800,"Broadway East, Baltimore, MD",17728
24510261000,"Patterson Park, Baltimore, MD",17703
24510110200,"Downtown, Baltimore, MD",17516
24510260404,"Baltimore Highlands, Baltimore, MD",17452
24510260604,"O'Donnell Heights, Baltimore, MD",17213
24510180100,"Poppleton, Baltimore, MD",17117
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",16557
24510190300,"Mount Clare, Baltimore, MD",16447
24510200300,"Bentalou-Smallwood, Baltimore, MD",16196
24510260303,"Claremont - Freedom, Baltimore, MD",16191
24510060100,"Patterson Park, Baltimore, MD",16149
24510030200,"Little Italy, Baltimore, MD",16125
24510260800,"Baltimore Highlands, Baltimore, MD",16013
24510200500,"Mill Hill, Baltimore, MD",15774
24005430600,"Relay, Halethorpe, MD",
24005492500,"Baltimore, MD",
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420302,"Dundalk, MD",
24005421200,"Dundalk, MD",
24005420100,"Dundalk, MD",
24510230200,"South Baltimore, Baltimore, MD",
24005420800,"Dundalk, MD",
24510010300,"Canton, Baltimore, MD",
24005440600,"Rosedale, MD",
24005420701,"Dundalk, MD",
24510240400,"Riverside Park, Baltimore, MD",
24510260900,"Baltimore, MD",
24510020300,"Fells Point, Baltimore, MD",
24005420303,"Dundalk, MD",
24003750102,"Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005452300,"Baltimore, MD",
24005452500,"Dundalk, MD",
24510230300,"South Baltimore, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420200,"Dundalk, MD",
24005450200,"Essex, MD",
24005440500,"Nottingham, MD",
24005451900,"Edgemere, MD",
24005430800,"Halethorpe, MD",
24005420402,"Dundalk, MD",
24510240300,"Riverside, Baltimore, MD",
24005450400,"Essex, MD",
24510240200,"Riverside, Baltimore, MD",
24005421000,"Dundalk, MD",
24510010100,"Canton, Baltimore, MD",
24510010400,"Canton, Baltimore, MD",
24510261100,"Canton, Baltimore, MD",
24005420500,"Baltimore, MD",
24005452100,"Sparrows Point, MD",
24510130804,"Hampden, Baltimore, MD",
24003750300,"Linthicum Heights, MD",
24003750203,"Baltimore, MD",
24510271400,"Evergreen, Baltimore, MD",
24005451000,"Essex, MD",
24005420702,"Dundalk, MD",
24510240100,"Locust Point, Baltimore, MD",
24005420600,"Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24005400500,"Catonsville, MD",
24510271503,"Cross Keys, Baltimore, MD",
24510271300,"Roland Park, Baltimore, MD",
24510260401,"Armistead Gardens, Baltimore, MD",
24005450300,"Essex, MD",
24510130600,"Hampden, Baltimore, MD",