"tract","Name","Household_Income_rP_gP_pall"
25017338500,"Winchester, MA",71802
25017337102,"Stoneham, MA",68998
25017339100,"Medford, MA",66430
25017339200,"West Medford, Medford, MA",65429
25017350500,"Tufts, Somerville, MA",63696
25017354000,"Neighborhood Nine, Cambridge, MA",63044
25017336300,"Melrose, MA",61618
25017339400,"Medford, MA",61100
25017336402,"Melrose, MA",60320
25017339500,"Medford, MA",58464
25017337300,"Stoneham, MA",57807
25017340100,"Medford, MA",57706
25009208400,"Saugus, MA",57557
25017341101,"Malden, MA",57382
25025180200,"Winthrop, MA",56568
25025180400,"Winthrop, MA",56509
25017339801,"Medford, MA",56311
25017350600,"Tufts, Somerville, MA",56175
25017350103,"Ten Hills, Somerville, MA",55913
25017341102,"Malden, MA",55007
25017339600,"South Medford, Medford, MA",53884
25025180101,"Winthrop, MA",53161
25025170100,"Revere, MA",52932
25017336401,"Melrose, MA",52907
25017341300,"Malden, MA",52440
25009208102,"Saugus, MA",52320
25017340000,"Medford, MA",52213
25017353600,"Agassiz, Cambridge, MA",52197
25017350400,"Powder House Square, Somerville, MA",52094
25017339900,"Medford, MA",51946
25017339700,"South Medford, Medford, MA",51609
25017354500,"Neighborhood Nine, Cambridge, MA",51466
25017341600,"Malden, MA",51251
25025170601,"Revere, MA",50994
25009208200,"Saugus, MA",50899
25009208101,"Saugus, MA",50809
25017351100,"Spring Hill, Somerville, MA",50695
25017341700,"Malden, MA",50422
25017341200,"Malden, MA",50244
25017341400,"Malden, MA",50232
25017342101,"Everett, MA",49999
25017342600,"Everett, MA",49545
25025170300,"Revere, MA",48460
25017354700,"North Cambridge, Cambridge, MA",48304
25017342202,"Everett, MA",48221
25017350900,"Davis Square, Somerville, MA",48189
25017351000,"Spring Hill, Somerville, MA",48058
25017341500,"Malden, MA",47067
25017342300,"Everett, MA",47051
25025170200,"Revere, MA",46783
25017342201,"Everett, MA",46739
25017341902,"Malden, MA",46488
25017341901,"Malden, MA",46168
25017351404,"East Somerville, Somerville, MA",45688
25025170502,"Revere, MA",45652
25017350200,"Winter Hill, Somerville, MA",45488
25017342102,"Everett, MA",45266
25017341800,"Malden, MA",45017
25017351500,"Ward Two, Somerville, MA",44972
25017339802,"Medford, MA",44665
25017342500,"Everett, MA",44489
25025040300,"Charlestown, Boston, MA",44398
25017350300,"Magoun Square, Somerville, MA",44390
25025160602,"Chelsea, MA",44104
25017351204,"Ward Two, Somerville, MA",44006
25025170400,"Revere, MA",43816
25025170701,"Revere, MA",43624
25017342400,"Everett, MA",43333
25025170800,"Revere, MA",43213
25025040600,"Charlestown, Boston, MA",43037
25017351403,"East Somerville, Somerville, MA",42628
25017351300,"Prospect Hill, Somerville, MA",42137
25025170702,"Revere, MA",41545
25025051101,"East Boston, Boston, MA",41394
25017350104,"Somerville, MA",41324
25025170501,"Revere, MA",40714
25025160300,"Chelsea, MA",39628
25009205800,"Lynn, MA",39450
25025050901,"Eagle Hill, Boston, MA",39230
25025160502,"Chelsea, MA",39039
25025051000,"East Boston, Boston, MA",38653
25025160400,"Chelsea, MA",38281
25025160601,"Chelsea, MA",38134
25025160501,"Chelsea, MA",37624
25025050101,"Eagle Hill, Boston, MA",35903
25025040801,"Charlestown, Boston, MA",35716
25025160101,"Chelsea, MA",34529
25009207200,"Lynn, MA",33743
25025160200,"Chelsea, MA",33404
25025981502,"Revere, MA",